Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZDT1,EP,0,0.0208291264264653
NSGAII,ZDT1,EP,1,0.0214111307323319
NSGAII,ZDT1,EP,2,0.0206358091112295
NSGAII,ZDT1,EP,3,0.023343698839468
NSGAII,ZDT1,EP,4,0.0258942275534373
NSGAII,ZDT1,EP,5,0.0313136497624825
NSGAII,ZDT1,EP,6,0.0217188060775311
NSGAII,ZDT1,EP,7,0.0230272272150415
NSGAII,ZDT1,EP,8,0.0291051365203036
NSGAII,ZDT1,EP,9,0.0281689106486957
NSGAII,ZDT1,EP,10,0.0285918690551562
NSGAII,ZDT1,EP,11,0.0288291011661333
NSGAII,ZDT1,EP,12,0.02615877317138
NSGAII,ZDT1,EP,13,0.0237131326041759
NSGAII,ZDT1,EP,14,0.0258057546344067
NSGAII,ZDT1,EP,15,0.0246252362900522
NSGAII,ZDT1,EP,16,0.0277383934675282
NSGAII,ZDT1,EP,17,0.0301531337549902
NSGAII,ZDT1,EP,18,0.0207799494443874
NSGAII,ZDT1,EP,19,0.027355240409925
NSGAII,ZDT1,EP,20,0.0223527905895452
NSGAII,ZDT1,EP,21,0.0261408182405454
NSGAII,ZDT1,EP,22,0.0243035714132898
NSGAII,ZDT1,EP,23,0.0247035654496284
NSGAII,ZDT1,EP,24,0.0308347932399778
NSGAII,ZDT2,EP,0,0.0472452268408791
NSGAII,ZDT2,EP,1,0.1011672901413277
NSGAII,ZDT2,EP,2,0.0431381528434114
NSGAII,ZDT2,EP,3,0.9168386866894864
NSGAII,ZDT2,EP,4,0.949386571678014
NSGAII,ZDT2,EP,5,0.0849789721855184
NSGAII,ZDT2,EP,6,0.0877136792049138
NSGAII,ZDT2,EP,7,0.79786378063766
NSGAII,ZDT2,EP,8,0.04682542156014
NSGAII,ZDT2,EP,9,0.0557206334891553
NSGAII,ZDT2,EP,10,0.8218823055962623
NSGAII,ZDT2,EP,11,0.058542348431358
NSGAII,ZDT2,EP,12,0.0554694386213329
NSGAII,ZDT2,EP,13,0.0520527423927972
NSGAII,ZDT2,EP,14,0.0430585529428733
NSGAII,ZDT2,EP,15,0.0557179747598332
NSGAII,ZDT2,EP,16,0.8037897910514717
NSGAII,ZDT2,EP,17,0.6051920983678831
NSGAII,ZDT2,EP,18,0.7752577765434107
NSGAII,ZDT2,EP,19,0.0449096857061184
NSGAII,ZDT2,EP,20,0.1028480794654907
NSGAII,ZDT2,EP,21,0.1072710342491075
NSGAII,ZDT2,EP,22,0.9098628657528468
NSGAII,ZDT2,EP,23,0.0473496107035512
NSGAII,ZDT2,EP,24,0.0351568667349322
NSGAII,ZDT3,EP,0,0.0266763605474852
NSGAII,ZDT3,EP,1,0.0254926378930486
NSGAII,ZDT3,EP,2,0.0174575030783927
NSGAII,ZDT3,EP,3,0.0225656708172796
NSGAII,ZDT3,EP,4,0.0267058346266902
NSGAII,ZDT3,EP,5,0.0224947502187641
NSGAII,ZDT3,EP,6,0.0220938671606136
NSGAII,ZDT3,EP,7,0.0202373816325247
NSGAII,ZDT3,EP,8,0.0231973896677888
NSGAII,ZDT3,EP,9,0.0218597050436492
NSGAII,ZDT3,EP,10,0.0197295898014976
NSGAII,ZDT3,EP,11,0.0225047672368883
NSGAII,ZDT3,EP,12,0.0213983368290351
NSGAII,ZDT3,EP,13,0.0211662144450555
NSGAII,ZDT3,EP,14,0.015367240245902
NSGAII,ZDT3,EP,15,0.0201188511632591
NSGAII,ZDT3,EP,16,0.1946169080626254
NSGAII,ZDT3,EP,17,0.0161813617914884
NSGAII,ZDT3,EP,18,0.0234128374209403
NSGAII,ZDT3,EP,19,0.0186788539839314
NSGAII,ZDT3,EP,20,0.0162698615858637
NSGAII,ZDT3,EP,21,0.0212720814743049
NSGAII,ZDT3,EP,22,0.0178930237259802
NSGAII,ZDT3,EP,23,0.0263760426315494
NSGAII,ZDT3,EP,24,0.0222931558359782
NSGAII,ZDT4,EP,0,0.8276518234739672
NSGAII,ZDT4,EP,1,0.3288418126414102
NSGAII,ZDT4,EP,2,1.1859099907066226
NSGAII,ZDT4,EP,3,0.5746705547121005
NSGAII,ZDT4,EP,4,0.8186540738661302
NSGAII,ZDT4,EP,5,1.803143676407173
NSGAII,ZDT4,EP,6,0.8149639948983862
NSGAII,ZDT4,EP,7,0.8052965455500849
NSGAII,ZDT4,EP,8,0.784741749415919
NSGAII,ZDT4,EP,9,1.0173784367970666
NSGAII,ZDT4,EP,10,0.5055013202082661
NSGAII,ZDT4,EP,11,1.0147327041251224
NSGAII,ZDT4,EP,12,1.19431223386377
NSGAII,ZDT4,EP,13,1.0718664880944695
NSGAII,ZDT4,EP,14,0.4653242505251767
NSGAII,ZDT4,EP,15,0.7569035203797058
NSGAII,ZDT4,EP,16,0.6929266711615371
NSGAII,ZDT4,EP,17,0.8045507783481121
NSGAII,ZDT4,EP,18,0.7388056573885072
NSGAII,ZDT4,EP,19,0.7286315272993749
NSGAII,ZDT4,EP,20,0.700574319377792
NSGAII,ZDT4,EP,21,0.8212767522201473
NSGAII,ZDT4,EP,22,0.8472549220208904
NSGAII,ZDT4,EP,23,1.3451638714803693
NSGAII,ZDT4,EP,24,0.399437622832539
NSGAII,ZDT6,EP,0,0.5445384220438537
NSGAII,ZDT6,EP,1,0.5325867282954052
NSGAII,ZDT6,EP,2,0.3535136765625339
NSGAII,ZDT6,EP,3,0.332415539271913
NSGAII,ZDT6,EP,4,0.3673578914883206
NSGAII,ZDT6,EP,5,0.4047179652235098
NSGAII,ZDT6,EP,6,0.3236059021967492
NSGAII,ZDT6,EP,7,0.3843474244199482
NSGAII,ZDT6,EP,8,0.3900659354304241
NSGAII,ZDT6,EP,9,0.4138367697945315
NSGAII,ZDT6,EP,10,0.3074382427115325
NSGAII,ZDT6,EP,11,0.2829385173345675
NSGAII,ZDT6,EP,12,0.3266362374896791
NSGAII,ZDT6,EP,13,0.3338954826797524
NSGAII,ZDT6,EP,14,0.3808214748559965
NSGAII,ZDT6,EP,15,0.4231956279333784
NSGAII,ZDT6,EP,16,0.316463808624527
NSGAII,ZDT6,EP,17,0.3548170877625657
NSGAII,ZDT6,EP,18,0.3149567728938123
NSGAII,ZDT6,EP,19,0.3336260620279235
NSGAII,ZDT6,EP,20,0.3661779225700326
NSGAII,ZDT6,EP,21,0.3611500618655492
NSGAII,ZDT6,EP,22,0.3763778985784848
NSGAII,ZDT6,EP,23,0.4753841705568765
NSGAII,ZDT6,EP,24,0.3330842373877658
NSGAII,DTLZ1,EP,0,2.318191568547572
NSGAII,DTLZ1,EP,1,0.5509029252124304
NSGAII,DTLZ1,EP,2,2.264895629844167
NSGAII,DTLZ1,EP,3,0.4133783929425523
NSGAII,DTLZ1,EP,4,0.607326144848334
NSGAII,DTLZ1,EP,5,0.1175018012965054
NSGAII,DTLZ1,EP,6,0.5644788472472224
NSGAII,DTLZ1,EP,7,0.2815668918488655
NSGAII,DTLZ1,EP,8,0.6272481854049962
NSGAII,DTLZ1,EP,9,1.4109444712821675
NSGAII,DTLZ1,EP,10,0.7280597122311814
NSGAII,DTLZ1,EP,11,0.2972732352523289
NSGAII,DTLZ1,EP,12,1.195719881968802
NSGAII,DTLZ1,EP,13,1.7207023681365836
NSGAII,DTLZ1,EP,14,1.1252434930520872
NSGAII,DTLZ1,EP,15,1.1187749699186869
NSGAII,DTLZ1,EP,16,0.8608845303427587
NSGAII,DTLZ1,EP,17,1.7596282595869988
