Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT2,EP,8,0.013609183917313195
NSGAII,ZCAT2,EP,9,0.013322549801561376
NSGAII,ZCAT2,EP,10,0.016136453119548477
NSGAII,ZCAT2,EP,11,0.011029914999573537
NSGAII,ZCAT2,EP,12,0.014532079750586624
NSGAII,ZCAT2,EP,13,0.013679687261300644
NSGAII,ZCAT2,EP,14,0.01406512236742602
NSGAII,ZCAT2,EP,15,0.014820654145100864
NSGAII,ZCAT2,EP,16,0.011907799162554106
NSGAII,ZCAT2,EP,17,0.013699412892524743
NSGAII,ZCAT2,EP,18,0.018892853123726017
NSGAII,ZCAT2,EP,19,0.014936411697573926
NSGAII,ZCAT2,EP,20,0.01479180682939979
NSGAII,ZCAT2,EP,21,0.016786896482757663
NSGAII,ZCAT2,EP,22,0.014610578153331333
NSGAII,ZCAT2,EP,23,0.012881014766348425
NSGAII,ZCAT2,EP,24,0.014140917667601227
NSGAII,ZCAT2,EP,25,0.012502514863238168
NSGAII,ZCAT2,EP,26,0.012346072211762565
NSGAII,ZCAT2,EP,27,0.014579174767390048
NSGAII,ZCAT2,EP,28,0.014865975951830201
NSGAII,ZCAT2,EP,29,0.01599107927680632
NSGAII,ZCAT3,EP,0,0.017924303473552783
NSGAII,ZCAT3,EP,1,0.01810770425344488
NSGAII,ZCAT3,EP,2,0.016873034882211924
NSGAII,ZCAT3,EP,3,0.012516129557284317
NSGAII,ZCAT3,EP,4,0.014742446206388315
NSGAII,ZCAT3,EP,5,0.013569736542971472
NSGAII,ZCAT3,EP,6,0.016779785795394273
NSGAII,ZCAT3,EP,7,0.012003633907592404
NSGAII,ZCAT3,EP,8,0.01471130620247904
NSGAII,ZCAT3,EP,9,0.015617208169486196
NSGAII,ZCAT3,EP,10,0.019385120893853247
NSGAII,ZCAT3,EP,11,0.020180859693241023
NSGAII,ZCAT3,EP,12,0.01744298649965148
NSGAII,ZCAT3,EP,13,0.019200002663523952
NSGAII,ZCAT3,EP,14,0.015244222105265881
NSGAII,ZCAT3,EP,15,0.014280000742526194
NSGAII,ZCAT3,EP,16,0.013219383505591431
NSGAII,ZCAT3,EP,17,0.012631064739948046
NSGAII,ZCAT3,EP,18,0.016888679685457764
